season,abbreviation,rosterTeamId,playerId_1,playerId_2,playerId_3,playerId_4,playerId_5,playerId_6,playerId_7,playerId_8
2017,ARI,109,407845,605151,543331,456696,517414,407822,545332,642073
2017,ATL,144,462382,527055,542432,518693,435400,571871,592426,571521
2017,BAL,110,542960,502154,571710,503285,543118,643354,542947,612434
2017,BOS,111,518886,592665,523260,598264,592390,472551,582494,519443
2017,CHC,112,451584,458677,493157,605218,467008,444468,518748,543557
2017,CIN,113,628452,547179,519322,593974,502028,594992,571561,596112
2017,CLE,114,592102,543766,453192,501925,457429,621397,444520,580792
2017,COL,115,518813,459429,543734,450212,493603,445197,623184,622608
2017,CWS,145,502085,573668,461325,592454,461872,571476,500872,543359
2017,DET,116,458677,572888,408061,543935,621385,541652,641729,572403
2017,HOU,117,571704,606965,461325,502381,501789,605397,593140,624586
2017,KC,118,516969,543506,501985,491703,465657,518397,488748,493247
2017,LAA,108,502032,453284,592135,641871,433589,489446,501625,456696
2017,LAD,119,445276,453265,451661,548389,501822,520980,453344,501593
2017,MIA,146,573109,446899,475479,607457,430661,547749,606424,623395
2017,MIL,158,608349,491703,606930,448614,453172,543118,461872,623352
2017,MIN,142,445213,279571,573124,608648,657610,519151,444520,641427
2017,NYM,121,573109,592665,460283,544727,623149,570663,477569,572831
2017,NYY,147,547973,502085,476454,461325,476589,592454,656547,592741
2017,OAK,133,433586,448281,595014,521230,425492,501822,623430,543056
2017,PHI,143,593576,472610,504379,276542,591693,450212,491646,570257
2017,PIT,134,553878,453265,504379,502004,276542,453281,543339,519263
2017,SD,135,543272,543506,489446,488748,600526,489334,664208,475243
2017,SEA,136,621242,475479,656186,518553,519240,572021,543883,543964
2017,SF,137,473879,453343,571882,502004,519326,544150,608717,518715
2017,STL,138,493200,572096,446399,504379,621199,544928,605154,543779
2017,TB,139,517008,518553,595032,471822,458584,502202,643493,541640
2017,TEX,140,473879,592222,456713,501817,600917,605309,276351,600965
2017,TOR,141,532077,608678,572193,592130,607352,276351,501925,596271
2017,WSH,120,445213,448281,595014,606983,458006,518875,544836,425492
2018,ARI,109,502202,605151,446899,673633,611093,518617,519008,407822
2018,ATL,144,527055,621345,542960,595465,592145,518693,458924,641438
2018,BAL,110,571710,542960,502154,643316,503285,656945,612434,542947
2018,BOS,111,518886,523260,592390,598264,518489,598271,605476,453214
2018,CHC,112,453344,467008,518553,445213,445926,458677,488846,605218
2018,CIN,113,628452,453172,456696,607237,547179,605538,608371,594992
2018,CLE,114,592102,543272,453192,519096,502004,519166,643256,502083
2018,COL,115,451584,493603,543766,493200,623184,459429,543734,572044
2018,CWS,145,465657,518858,605240,501593,573668,502327,541652,458584
2018,DET,116,572888,641729,543935,621385,488786,599683,572403,502083
2018,HOU,117,444468,571704,532077,502748,606965,519151,501789,501925
2018,KC,118,516969,503449,543506,657612,641838,543169,592094,641745
2018,LAA,108,453284,592135,641871,605121,621142,462382,501625,598287
2018,LAD,119,445276,425492,518397,608638,451661,657571,571561,592340
2018,MIA,146,607457,446899,608716,543045,594027,607968,457915,605255
2018,MIL,158,502026,608349,465657,623352,606930,543359,458006,458584
2018,MIN,142,407845,657610,573124,592665,519151,435043,543507,622382
2018,NYM,121,544727,607229,461872,607625,623149,570663,642008,622098
2018,NYY,147,547973,502085,476454,502154,643338,592454,502004,570666
2018,OAK,133,595014,407845,544727,642152,518715,433589,501822,518875
2018,PHI,143,622554,593576,488984,450212,644364,605388,472610,501593
2018,PIT,134,553878,605309,650828,605195,593140,502004,596720,605280
2018,SD,135,543272,489446,489334,622259,664208,643256,620454,476594
2018,SEA,136,621242,517008,504379,435043,543883,572021,592340,518748
2018,SF,137,519293,519326,473879,453343,606625,453265,518715,605143
2018,STL,138,502032,663855,593372,518813,605154,608678,544928,621199
2018,TB,139,489265,517008,621237,592473,643493,458924,475054,650895
2018,TEX,140,605309,600917,445926,592222,518617,455119,518715,572750
2018,TOR,141,572193,571704,461325,532077,493200,592130,543118,571901
2018,WSH,120,448281,516969,425492,445213,519301,502522,518813,518875
2019,ARI,109,518813,605151,673633,605177,661255,542882,656464,643327
2019,ATL,144,592426,572888,453343,621345,461872,455119,458708,657097
2019,BAL,110,571710,542888,643316,612434,542947,605541,571858,656945
2019,BOS,111,519443,598264,518489,519393,592390,657031,595001,605155
2019,CHC,112,467008,518886,518553,543022,445213,475479,594986,542960
2019,CIN,113,628452,547179,456696,596112,607237,453172,607219,593974
2019,CLE,114,543272,621295,424144,643256,471911,621397,595918,621056
2019,COL,115,451584,545064,623184,543766,518452,608032,459429,622075
2019,CWS,145,517008,605359,607481,516969,605240,592612,614179,518858
2019,DET,116,572888,641729,571656,622505,621385,542585,598286,642397
2019,HOU,117,532077,519151,501789,444468,607352,657624,606965,501925
2019,KC,118,453178,641838,503449,502202,605130,518617,657612,605347
2019,LAA,108,570663,621142,592135,592102,472610,605121,572703,606167
2019,LAD,119,445276,520980,523260,628711,554340,571670,628317,594987
2019,MIA,146,489265,592773,570632,543045,594027,641755,623433,650671
2019,MIL,158,623352,448855,458006,502026,592222,642547,519141,605143
2019,MIN,142,573124,489265,453284,543483,543507,607560,473879,608648
2019,NYM,121,621242,607625,607229,458677,544727,641341,542960,543193
2019,NYY,147,547973,493603,502154,592454,605501,664856,643338,656547
2019,OAK,133,521230,595014,465657,488748,642152,407845,433589,518617
2019,PHI,143,593576,453284,501625,453172,624133,450212,504379,605388
2019,PIT,134,553878,605195,593144,605309,434538,593140,605280,595897
